DISTRICT,MANDAL,LOCATION NAME,LATITUDE,LONGITUDE,TYPE OF CAMERA,Type Of Analytics
PRAKASAM,DARSI,Teachers colony Centre,15.76472847,79.67933616,PTZ,PTZ - General Surveillance
PRAKASAM,ONGOLE,Anjaiah road Entrance,15.51247857,80.03492818,ANALYTICS,Analytics - Wrong Direction
PRAKASAM,ONGOLE,Anjaiah road Entrance,15.51188401,80.03491985,FIXED,Fixed - General Surveillance
PRAKASAM,ONGOLE,Anjaiah road Entrance,15.51188401,80.03491985,PTZ,PTZ - General Surveillance
PRAKASAM,ONGOLE,Brundavan nagar to lambadi donka road,15.51133725,80.0386113,PTZ,PTZ - General Surveillance
PRAKASAM,ONGOLE,NGO colony Entrance opposite power office,15.51380938,80.03905355,ANALYTICS,Analytics - No Parking
PRAKASAM,ONGOLE,NGO colony Entrance opposite power office,15.51380938,80.03905355,FIXED,Fixed - General Surveillance
PRAKASAM,ONGOLE,NGO colony Entrance opposite power office,15.51380938,80.03905355,PTZ,PTZ - General Surveillance
PRAKASAM,ONGOLE,NGO Coloy,15.51706789,80.04021488,PTZ,PTZ - General Surveillance
PRAKASAM,ONGOLE,Nirmal Nagar Park,15.50991228,80.03485807,PTZ,PTZ - General Surveillance
PRAKASAM,ONGOLE,SundaraiahBhavan center,15.51037283,80.039466,PTZ,PTZ - General Surveillance
PRAKASAM,CHIRALA,Hai Restaurant Junction Bi-Pass Road,15.82445659,80.37919431,ANPR,ANPR - Free Flow
PRAKASAM,CHIRALA,Hai Restaurant Junction Bi-Pass Road,15.82445659,80.37919431,PTZ,PTZ - General Surveillance
PRAKASAM,CHIRALA,Hai Restaurant Junction Bi-Pass Road,15.82675702,80.370008,ANPR,ANPR - Free Flow
PRAKASAM,CHIRALA,Hai Restaurant Junction Bi-Pass Road,15.82675702,80.370008,FIXED,Fixed - General Surveillance
PRAKASAM,CHIRALA,Hai Restaurant Junction Bi-Pass Road,15.82675702,80.370008,PTZ,PTZ - General Surveillance
PRAKASAM,CHIRALA,Karamchedu Gate Center,15.83589071,80.36320143,ANPR,ANPR - Free Flow
PRAKASAM,CHIRALA,Karamchedu Gate Center,15.83589071,80.36320143,ANALYTICS,Analytics - Crowd Gathering
PRAKASAM,CHIRALA,Karamchedu Gate Center,15.83558742,80.36278446,FIXED,Fixed - General Surveillance
PRAKASAM,CHIRALA,Karamchedu Gate Center,15.83558742,80.36278446,PTZ,PTZ - General Surveillance
PRAKASAM,CHIRALA,Karamchedu Gate Center,15.83557229,80.36280604,FIXED,Fixed - General Surveillance
PRAKASAM,CHIRALA,Karamchedu Gate Center,15.83557229,80.36280604,ANPR,ANPR - Free Flow
PRAKASAM,CHIRALA,Mosque centre II Town,15.83621616,80.36433721,PTZ,PTZ - General Surveillance
PRAKASAM,CHIRALA,Pedda Radham Center (Sivalayam Temple Junction),15.82748205,80.35766509,ANALYTICS,Analytics - Crowd Gathering
PRAKASAM,CHIRALA,Pedda Radham Center (Sivalayam Temple Junction),15.82748205,80.35766509,FIXED,Fixed - General Surveillance
PRAKASAM,CHIRALA,Pedda Radham Center (Sivalayam Temple Junction),15.83196907,80.36162163,FIXED,Fixed - General Surveillance
PRAKASAM,CHIRALA,Pedda Radham Center (Sivalayam Temple Junction),15.83196907,80.36162163,PTZ,PTZ - General Surveillance
PRAKASAM,CHIRALA,Perala Center,15.83428395,80.36250246,FIXED,Fixed - General Surveillance
PRAKASAM,CHIRALA,Perala Center,15.83428395,80.36250246,FIXED,Fixed - General Surveillance
PRAKASAM,CHIRALA,Perala Center,15.83368622,80.3623083,PTZ,PTZ - General Surveillance
PRAKASAM,CHIRALA,Perala Center,15.50661227,80.04951933,RLVD,RLVD
PRAKASAM,CHIRALA,Perala Center,15.50661227,80.04951933,ANPR,ANPR - RLVD supported
PRAKASAM,CHIRALA,Perala Center,15.50661227,80.04951933,ANPR,ANPR - RLVD supported
PRAKASAM,CHIRALA,Perala Center,15.82071227,80.3768772,RLVD,RLVD
PRAKASAM,CHIRALA,Perala Center,15.82071227,80.3768772,ANPR,ANPR - RLVD supported
PRAKASAM,CHIRALA,Perala Center,15.82071227,80.3768772,ANPR,ANPR - RLVD supported
PRAKASAM,CHIRALA,Sai Colony,15.83368622,80.3623083,FIXED,Fixed - General Surveillance
PRAKASAM,CHIRALA,Sai Colony,15.83368622,80.3623083,FIXED,Fixed - General Surveillance
PRAKASAM,CHIRALA,Straight cut Junction,15.84474302,80.37872622,ANPR,ANPR - Free Flow
PRAKASAM,CHIRALA,Straight cut Junction,15.84474302,80.37872622,FIXED,Fixed - General Surveillance
PRAKASAM,CHIRALA,Straight cut Junction,15.84456935,80.37842038,ANPR,ANPR - Free Flow
PRAKASAM,CHIRALA,Straight cut Junction,15.84456935,80.37842038,FIXED,Fixed - General Surveillance
PRAKASAM,CHIRALA,Straight cut Junction,15.84456935,80.37842038,PTZ,PTZ - General Surveillance
PRAKASAM,CHIRALA,Vivekananda nagar,15.82675702,80.370008,FIXED,Fixed - General Surveillance
PRAKASAM,CHIRALA,Vivekananda nagar,15.82675702,80.370008,PTZ,PTZ - General Surveillance
PRAKASAM,CHIRALA,VRS & YRN College,15.82675702,80.370008,ANALYTICS,Analytics - Crowd Gathering
PRAKASAM,CHIRALA,VRS & YRN College,15.82675702,80.370008,FIXED,Fixed - General Surveillance
PRAKASAM,CHIRALA,VRS & YRN College,15.82675702,80.370008,PTZ,PTZ - General Surveillance
PRAKASAM,CHIRALA,3 Roads Junction Kothapea,15.81670926,80.35868769,ANPR,ANPR - Free Flow
PRAKASAM,CHIRALA,3 Roads Junction Kothapea,15.81670926,80.35868769,FIXED,Fixed - General Surveillance
PRAKASAM,CHIRALA,3 Roads Junction Kothapea,15.81659101,80.35863078,ANPR,ANPR - Free Flow
PRAKASAM,CHIRALA,3 Roads Junction Kothapea,15.81659101,80.35863078,FIXED,Fixed - General Surveillance
PRAKASAM,CHIRALA,3 Roads Junction Kothapea,15.81659101,80.35863078,PTZ,PTZ - General Surveillance
PRAKASAM,CHIRALA,Behind Vegetable Market,15.82491715,80.35468987,ANALYTICS,Analytics - No Parking
PRAKASAM,CHIRALA,Behind Vegetable Market,15.82572995,80.35501516,FIXED,Fixed - General Surveillance
PRAKASAM,CHIRALA,Behind Vegetable Market,15.82572995,80.35501516,PTZ,PTZ - General Surveillance
PRAKASAM,CHIRALA,Brahmam gari tree centre,15.82292937,80.352707,FIXED,Fixed - General Surveillance
PRAKASAM,CHIRALA,Brahmam gari tree centre,15.82292937,80.352707,PTZ,PTZ - General Surveillance
PRAKASAM,CHIRALA,Brahmam gari tree centre,15.82292937,80.352707,ANPR,ANPR - Free Flow
PRAKASAM,CHIRALA,Brahmam gari tree centre,15.82430734,80.35360808,PTZ,PTZ - General Surveillance
PRAKASAM,CHIRALA,Clock tower centre,15.82736015,80.35601221,ANALYTICS,Analytics - Crowd Gathering
PRAKASAM,CHIRALA,Clock tower centre,15.82736015,80.35601221,PTZ,PTZ - General Surveillance
PRAKASAM,CHIRALA,Clock tower centre,15.82815046,80.35696192,PTZ,PTZ - General Surveillance
PRAKASAM,CHIRALA,Clock tower centre,15.82815046,80.35696192,FIXED,Fixed - General Surveillance
PRAKASAM,CHIRALA,Clock tower centre,15.82815046,80.35696192,FIXED,Fixed - General Surveillance
PRAKASAM,CHIRALA,Clock tower centre,15.82771078,80.35627352,PTZ,PTZ - General Surveillance
PRAKASAM,CHIRALA,Clock tower centre,15.82809381,80.35598215,RLVD,RLVD
PRAKASAM,CHIRALA,Clock tower centre,15.82809381,80.35598215,ANPR,ANPR - RLVD supported
